geometry,edit,control,delta,rho,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,converged,n_iters,energy_final,pin_path,error_msg
blob,static_far,mask,0.02,1.0,1,ok,contained,0.18194018115148916,0.6987135982936676,2.364926510420456,0.3144948747419246,0.0,True,26,2.4461762067511272,,
blob,static_far,mask,0.02,1.0,2,ok,contained,0.18478939796481414,0.6989081634907676,2.3693246391310505,0.3218359776540363,0.0,True,40,2.929878035245431,,
blob,static_far,mask,0.04,1.0,0,ok,contained,0.18815710592863463,0.6840898202132698,2.3993310986940974,0.3392126290877089,0.0,True,23,3.3675550684163515,,
blob,static_far,mask,0.04,1.0,1,ok,contained,0.18194018115148916,0.6987135982936676,2.364926510420456,0.3144948747419246,0.0,True,26,2.4461762067511272,,
blob,static_far,mask,0.04,1.0,2,ok,contained,0.18478939796481414,0.6989081634907676,2.3693246391310505,0.3218359776540363,0.0,True,40,2.929878035245431,,
blob,static_far,mask,-0.04,4.0,0,ok,contained,0.18798283483463993,0.6851248015047666,2.397334698917383,0.33704964850788216,0.0,True,22,3.3745623996118574,,
blob,static_far,mask,-0.04,4.0,1,ok,contained,0.18188021197339202,0.6990873181941734,2.36429063739774,0.3139246359326878,0.0,True,25,2.448317166759549,,
blob,static_far,mask,-0.04,4.0,2,ok,contained,0.1847266471742857,0.6993436052494187,2.368630114748222,0.32118405533930533,0.0,True,40,2.932136372576444,,
blob,static_far,mask,-0.02,4.0,0,ok,contained,0.18684308206229389,0.689166293629571,2.3817036588994007,0.3273448817536299,0.0,True,29,3.4364220287436806,,
blob,static_far,mask,-0.02,4.0,1,ok,contained,0.18107283467516674,0.7024259950903791,2.353668835508496,0.3081958780469919,0.0,True,25,2.481251212556971,,
blob,static_far,mask,-0.02,4.0,2,ok,contained,0.18393891074433832,0.7029509498694203,2.3573460952305263,0.3150577209905928,0.0,True,40,2.9691077182268124,,
blob,static_far,mask,0.0,4.0,0,ok,contained,0.18455280750316952,0.6930383984485916,2.3358055753547724,0.31361680470589703,0.0,True,30,3.61644851841791,,
blob,static_far,mask,0.0,4.0,1,ok,contained,0.17884597065277227,0.7073409395687024,2.315222048887937,0.2969542787036559,0.0,True,25,2.603854232643699,,
blob,static_far,mask,0.0,4.0,2,ok,contained,0.18172445628397257,0.7070090752181978,2.314410921399085,0.30356168898498315,0.0,True,36,3.140800884477435,,
blob,static_far,mask,0.02,4.0,0,ok,contained,0.18275407969112772,0.6909382116228737,2.2754278876548844,0.3101712016939899,0.0,True,28,3.904906018604251,,
blob,static_far,mask,0.02,4.0,1,ok,contained,0.1767479381091953,0.7077561855714184,2.257691951888052,0.2920510523978739,0.0,True,27,2.7980347188983363,,
blob,static_far,mask,0.02,4.0,2,ok,contained,0.1798298348189587,0.7069339439929555,2.2593777424080845,0.2992674059417158,0.0,True,48,3.3673617491100316,,
blob,static_far,mask,0.04,4.0,0,ok,contained,0.18261187787027058,0.6836541104838911,2.1969478377849607,0.3240471346419598,0.0,True,26,4.289655810306288,,
blob,static_far,mask,0.04,4.0,1,ok,contained,0.17581951917875055,0.7013684176744308,2.1822091832174633,0.3003746112094208,0.0,True,27,3.093314911328902,,
blob,static_far,mask,0.04,4.0,2,ok,contained,0.17893157347688468,0.7000037334740095,2.175246965160386,0.30908280449046965,0.0,True,44,3.737053699965206,,
blob,static_far,mask,-0.04,16.0,0,ok,contained,0.18780148680047748,0.6862756239692898,2.39529400545953,0.33477310187938175,0.0,True,27,3.3818072714541527,,
