geometry,edit,K,gamma_norm,seed,status,regime,support_norm,frac_within,decay_length,residual_fraction,floored_fraction,is_degenerate,kernel_live,n_edges,converged,energy_final,error_msg
bar,static_far,12,1.0,2,ok,contained,0.21580267845995216,0.5712316458713189,1.4525749862963633,0.4320688328549675,0.0,False,True,14045,True,0.41559662124281466,
bar,static_far,12,2.0,0,ok,contained,0.2161302164508599,0.5731105814605754,1.4288484029047588,0.4387711698295498,0.0,False,True,14102,True,0.1758955344328551,
bar,static_far,12,2.0,1,ok,contained,0.21352463130840435,0.5756770859130463,1.3966686068981238,0.4398701498669851,0.0,False,True,14074,True,0.21744633344524827,
bar,static_far,12,2.0,2,ok,contained,0.215581591021519,0.5728646466512567,1.4612340527494196,0.43097086994376244,0.0,False,True,14045,True,0.17734147674465753,
bar,static_far,12,3.0,0,ok,contained,0.2159147858294223,0.5741168916764973,1.4268178427827665,0.43738976979904803,0.0,False,True,14102,True,0.08205023241025364,
bar,static_far,12,3.0,1,ok,contained,0.2134724271188416,0.576415299845382,1.3997306035891675,0.43972553599765457,0.0,False,True,14074,True,0.10192225005323896,
bar,static_far,12,3.0,2,ok,contained,0.2153995458122706,0.5742122183533291,1.4680736747351713,0.4299993557933848,0.0,False,True,14045,True,0.08129104713270222,
bar,static_far,12,5.0,0,ok,contained,0.21549731455675133,0.5757456246940829,1.4201801774824934,0.43446492519738683,0.0,False,True,14102,True,0.02124702570030319,
bar,static_far,12,5.0,1,ok,contained,0.2133035963577778,0.5777506655466483,1.4008826854013408,0.43872254660803506,0.0,False,True,14074,True,0.02669101451409203,
bar,static_far,12,5.0,2,ok,contained,0.21524589899994415,0.5759183288493771,1.4814456470901094,0.4293336753151517,0.0,False,True,14045,True,0.020375434728405518,
bar,static_far,12,20.0,0,ok,contained,0.2142452414225424,0.5708817577860955,1.3034445279137912,0.4160069826655757,0.29137710962983976,False,True,14102,False,4.368132238269439e-05,
bar,static_far,12,20.0,1,ok,contained,0.22275913247422022,0.5517277422477448,1.5204931966276203,0.5171656636726366,0.2893278385675714,False,True,14074,False,5.582747103969522e-05,
bar,static_far,12,20.0,2,ok,contained,0.2206211283715926,0.5560667352789095,1.4903195156416444,0.4677991461663079,0.2824492702029192,False,True,14045,False,5.136124183232911e-05,
bar,static_far,12,50.0,0,ok,degenerate,,,1.3612422827325072,0.4540263673902117,0.7968373280385761,True,False,14102,False,1.7281685325280945e-07,
bar,static_far,12,50.0,1,ok,degenerate,,,1.310070329934028,0.46436753071955006,0.7964331391217848,True,False,14074,False,4.867124468553294e-07,
bar,static_far,12,50.0,2,ok,degenerate,,,1.501447516347797,0.4756920322181895,0.7925240299038804,True,False,14045,False,5.809337401826087e-07,
bar,static_far,16,1.0,0,ok,contained,0.21614639847245293,0.572025635276128,1.4217962385794083,0.43830913587554315,0.0,False,True,18721,True,0.5996261948192811,
bar,static_far,16,1.0,1,ok,contained,0.21358206607534416,0.5747894386102843,1.3925748714602444,0.44007273284758436,0.0,False,True,18644,True,0.7220112414298101,
bar,static_far,16,1.0,2,ok,contained,0.2158531478567384,0.5706940714306815,1.449670419475644,0.43224114397226326,0.0,False,True,18671,True,0.6143665986331768,
bar,static_far,16,2.0,0,ok,contained,0.21601984768302918,0.5730541878920776,1.4238658819004868,0.43776652128798166,0.0,False,True,18721,True,0.22685075815064362,
bar,static_far,16,2.0,1,ok,contained,0.21361021225054064,0.57550535338228,1.4002720104827753,0.440746486308295,0.0,False,True,18644,True,0.27574405695908966,
bar,static_far,16,2.0,2,ok,contained,0.21566420313083962,0.5724680273458747,1.4617931754169589,0.4315692820138062,0.0,False,True,18671,True,0.22847910400922603,
bar,static_far,16,3.0,0,ok,contained,0.2158521785809343,0.5740399507541706,1.423911287347356,0.43678474260269584,0.0,False,True,18721,True,0.0968883662493794,
bar,static_far,16,3.0,1,ok,contained,0.21354471745820078,0.5763010132573868,1.403473482533601,0.44049759030571634,0.0,False,True,18644,True,0.11889698865212038,
bar,static_far,16,3.0,2,ok,contained,0.21548518767681657,0.573939036589222,1.4701826069239647,0.4307094547978065,0.0,False,True,18671,True,0.0954521975286517,
bar,static_far,16,5.0,0,ok,contained,0.21548933177426538,0.5756818246321006,1.4198419862609022,0.4343660986681766,0.0,False,True,18721,True,0.022748608591768478,
bar,static_far,16,5.0,1,ok,contained,0.21334550713465616,0.5776989766196992,1.4034677818558656,0.439179537179569,0.0,False,True,18644,True,0.028448135163822406,
bar,static_far,16,5.0,2,ok,contained,0.21530362548943802,0.5757944067265749,1.483741354528919,0.42985337267982804,0.00016067698569974828,False,True,18671,True,0.02168945604210376,
bar,static_far,16,20.0,0,ok,contained,0.214279553870333,0.5707374248384112,1.3034124331627854,0.41625593007372935,0.44677100582233853,False,True,18721,False,4.378736546773612e-05,
bar,static_far,16,20.0,1,ok,contained,0.22274416119211318,0.5517204527297876,1.51940062108518,0.5169870623614281,0.4452370735893585,False,True,18644,False,5.5923034172611104e-05,
bar,static_far,16,20.0,2,ok,contained,0.22062295687778746,0.5560102633560484,1.4907817678530197,0.4677667830990286,0.43720207808901507,False,True,18671,False,5.144738049606039e-05,
bar,static_far,16,50.0,0,ok,degenerate,,,1.3650862462362026,0.4563698119437511,0.8469633032423481,True,False,18721,False,2.4132693309296615e-07,
bar,static_far,16,50.0,1,ok,degenerate,,,1.3034408919200131,0.4614552033635419,0.8463312593863977,True,False,18644,False,6.219324266383958e-07,
